originals,originals2,names,names2
东方风神录,東方風神録,Fly me to the moon 2,Fly me to the moon 2
猎人,HUNTER×HUNTER,真红的少年,真紅の少年
日在校园,School Days,It's only a fairy tale,It's only a fairy tale
格斗之王,Mortal Kombat,約束をしよう,約束をしよう
化物语,化物語,相遇天使 2,天使にふれたよ! 2
美少女战士,美少女戦士セーラームーン,U.Nオーエンは彼女なのか ,U.Nオーエンは彼女なのか 
东方星莲船,東方星蓮船,三目童子OST,三つ目がとおる OST
坦克大战,バトルシティー,月计时,Luna Dial
"云之彼端,约定的地方",雲のむこう、約束の場所,No buts,No buts
咲,咲-Saki-,恋爱サ キュレ ション,恋爱サ キュレ ション
地下城与勇士,DungeonFighter,人生的旋转木马 2,人生のメリーゴーランド 2
魔女宅急便,魔女の宅急便,通关,Clearance BGM
海绵宝宝,SpongeBob SquarePants,手舞足蹈,おどるポンポコリン
Little Busters!,リトルバスターズ！,God knows,God knows
恶魔城,キャッスルヴァニア,那天的河川,あの日の川へ
NICO,NICO,Pure white story,Pure white story
灼眼的夏娜,灼眼のシャナ,你的声音,きみのこえ
星之卡比,星のカービィ,Impatience,Impatience
红猪,紅の豚,魂魄之挽歌G调,クラピカ
灌篮高手,SLAM DUNK,夏夕空 2,なつゆうぞら
小丸子,ちびまる子ちゃん,遥か彼方,遥か彼方
幽灵公主,もののけ姫,想い出は遠くの日々(回忆遥远的往昔),想い出は遠くの日々
东方Project,東方Project,リフレクティア(Reflectia),リフレクティア
龙猫,となりのトトロ,素敌だね 完美版,素敌だね
天空之城,天空の城ラピュタ,キミがくれたもの(你给我的东西),キミがくれたもの
Supercell,Supercell,月灯り,月灯り
男子高中生的日常,男子高校生の日常,Brave Song tv.side,Brave Song
花水木,ハナミズキ,歌に形はないけれど(虽然歌声无形),歌に形はないけれど
哈尔的移动城堡,ウルの動く城,空に光る(空之光),空に光る
泡泡堂,Crazy Arcade,君の知らない物語,君の知らない物語
来自风平浪静的明天,凪のあすから,君と太阳が死んだ日,君と太阳が死んだ日
Kanon,カノン,坚定少女的心,前向きな乙女心
命运石之门,Steins;Gate,亡き王女の为のセプテット,亡き王女の为のセプテット
深夜食堂,深夜食堂,有梦好甜蜜 2,有梦好甜蜜 2
俄罗斯方块,Tetris,旅的途中 2,旅の途中 2
缘之空,ヨスガノソラ,無何有の郷,無何有の郷
好想告诉你,君に届け,月まで届け、不死の煙,月まで届け、不死の煙
东方萃梦想,東方萃夢想,神々が恋した幻想乡,神々が恋した幻想乡
潘多拉之心,Pandora Hearts,Reminisce,Reminisce
四月是你的谎言,四月は君の嘘,Rumbling hearts,Rumbling hearts
V家,VOCALOID,マトリョシカ(俄罗斯套娃),マトリョシカ
邻座的怪同学,となりの怪物くん,ありがとうあなた,ありがとうあなた
EVA,新世紀エヴァンゲリオン,世界之歌,世界の歌
CLANNAD,CLANNAD,lament of the highborne,lament of the highborne
海贼王,ONE PIECE,回想录,Reminisecences
Little busters,リトルバスターズ！,风的传说 2,風の伝説 2
拳皇99,King of Fighters '99,遥远的彼方,遥か彼方
冰雪奇缘,Frozen,一休和尚,とんちんかんちん一休さん
最终幻想,Final Fantasy,梭巡,逡巡
魂斗罗,魂斗羅,Liar Mask,Liar Mask
浪漫满屋,浪漫满屋,上弦の月,上弦の月
神不在的星期天,神さまのいない日曜日,给我一双翅膀,翼をください
吸血鬼骑士,ヴァンパイア騎士,夏影,夏影 -summer lights-
风见学园,風見学園,ふ?れ?ん?ど?し?た?い(想要成为好朋友),ふ?れ?ん?ど?し?た?い
壳之少女,殻ノ少女,蓝染,あいぞめ
真实之泪,true tears,Cerebrawl,Cerebrawl
魔力女管家,まほろまてぃっく,Lilium 3,Lilium 3
LoveLive!,ラブライブ！,片尾曲,SpongeBob Closing Theme
妖精的尾巴,FAIRY TAIL,To Zanarkand 2,To Zanarkand 2
俺妹,俺の妹がこんなに可愛いわけがない,小小的手心,小さなてのひら
夏目友人帐,夏目友人帳,空之轨迹3BGM,
空之境界,空の境界,我的恋爱就像订书机,わたしの恋はホッチキス
虫师,蟲師,alliance tavern,alliance tavern
魔法禁书目录,とある魔術の 禁書目録,菊次郎的夏天,summer
圣斗士,聖闘士星矢,優しさの足音(温柔的脚步声),優しさの足音
高达,ガンダム,青い空に出逢えた,青い空に出逢えた
AKB48,AKB48,归途,かえりみち
魔法少女小圆,魔法少女まどか☆マギカ,玻璃镜之梦,硝子镜の梦
君が望む永遠,君が望む永遠,夢の跡,夢の跡
银魂,銀魂,苏菲的城堡,ソフィーの城
水星领航员,アリア,文学少女,文学少女
黑猫警长,黑猫警长,厄神様の通り道,厄神様の通り道
穿越时空的少女,時をかける少女,魂魄之挽歌C调,クラピカ
鬼泣,Devil May Cry,dragon roost island,dragon roost island
Fate Stay Night,Fate/stay night,Irony 2,Irony 2
白色相簿2,WHITE ALBUM2,空に光る 2,空に光る 2
口袋妖怪,ポケットモンスター,Connect  by武士桑,Connect
